
9821,Floyd,Joanna,Miss,F,12/22/1951 12:00:00 AM,Separated,6817 Branch Way,Woodway,TX,76712,2548454609,joanna3@saturn.com,Contact,3/17/1990 12:00:00 AM,10/11/1988 12:00:00 AM,2/10/2018 12:00:00 AM
3179,Blair,Kasey,Mrs,F,9/14/1926 12:00:00 AM,Single,7409 Quail Place,Waco,TX,76710,5123879361,kasey2@earth.edu,Contact,1/7/1962 12:00:00 AM,8/18/1960 12:00:00 AM,3/28/2018 12:00:00 AM
9016,Dominguez,Gaige,Mr,M,4/20/1939 12:00:00 AM,Married,8001 Stony Ridge,Bruceville,TX,76630,2548625180,gdominguez@uranus.edu,Minister,5/1/1993 12:00:00 AM,10/21/1991 12:00:00 AM,1/1/2018 12:00:00 AM
2124,Jones,Bea,Miss,F,3/29/1986 12:00:00 AM,Married,522 Log Knoll,Hewitt,TX,76643,2546748270,,Archived,11/4/2014 12:00:00 AM,5/25/2013 12:00:00 AM,3/23/2015 12:00:00 AM
2024,Head,Travis,Mr,M,5/20/1951 12:00:00 AM,Unknown,3235 Rustic Falls,North Bellmore,NY,11710,2545227642,,Visitor,7/19/1988 12:00:00 AM,3/6/1987 12:00:00 AM,2/3/2018 12:00:00 AM
1142,Franks,Jenny,Miss,F,3/26/1938 12:00:00 AM,Separated,8867 Crystal Corner,Waco,TX,76799,5124975540,jfranks@jupiter.edu,Archived,1/9/2002 12:00:00 AM,8/6/2001 12:00:00 AM,1/20/2018 12:00:00 AM
2381,Wall,Jaxson,Dr,M,8/31/1974 12:00:00 AM,Divorced,3773 Hazy Isle,Elm Mott,TX,76640,2549172457,j-wall@neptune.edu,Attender,8/12/2004 12:00:00 AM,11/18/2003 12:00:00 AM,12/22/2017 12:00:00 AM
3364,Thomas,Anne,Mrs,F,10/2/1932 12:00:00 AM,Divorced,8182 Embers Dale,Waco,TX,76701,5125674779,t-thomas@earth.gov,Visitor,12/12/1960 12:00:00 AM,3/10/1960 12:00:00 AM,1/4/2018 12:00:00 AM
3860,George,Raelyn,Miss,F,1/12/1927 12:00:00 AM,Widowed,364 Bluff Chase,Waco,TX,76703,5122728807,rgeorge@earth.com,Visitor,4/2/1976 12:00:00 AM,9/6/1974 12:00:00 AM,1/22/2018 12:00:00 AM
8463,Parker,Jeremy,Mr,M,6/11/1970 12:00:00 AM,Married,6699 Nectar Bank,Indialantic,FL,32903,8208983648,parker3855@jupiter.gov,Contact,1/27/2015 12:00:00 AM,9/23/2014 12:00:00 AM,1/8/2017 12:00:00 AM
9747,Thomas,Quinn,Mrs,F,10/24/1955 12:00:00 AM,Married,6202 Berry Meadow,Bruceville,TX,76630,0,quinn3@mercury.edu,Visitor,7/2/2006 12:00:00 AM,3/18/2006 12:00:00 AM,7/11/2017 12:00:00 AM
4872,Rodgers,Camryn,Mrs,F,11/15/1991 12:00:00 AM,Married,8708 Goose Vista,Waco,TX,76707,5129813167,,Dependent,12/21/2012 12:00:00 AM,9/30/2011 12:00:00 AM,6/28/2017 12:00:00 AM
